Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Gaea's Cradle,Gaea's Cradle,Urza's Saga,321,USG,Normal,Near Mint,English,Rare,6883,20361
1,Underground Sea,Underground Sea,Revised Edition,290,3ED,Normal,Near Mint,English,Rare,1599,15730
1,Volcanic Island,Volcanic Island,Revised Edition,291,3ED,Normal,Near Mint,English,Rare,1608,15739
1,Tropical Island,Tropical Island,Revised Edition,288,3ED,Normal,Near Mint,English,Rare,1595,15726
1,Mox Diamond,Mox Diamond,Stronghold,138,STH,Normal,Near Mint,English,Rare,5382,18893
1,Bayou,Bayou,Revised Edition,283,3ED,Normal,Near Mint,English,Rare,1342,15483
1,Tundra,Tundra,Revised Edition,289,3ED,Normal,Near Mint,English,Rare,1597,15728
1,Badlands,Badlands,Revised Edition,282,3ED,Normal,Near Mint,English,Rare,1339,15480
1,Wheel of Fortune,Wheel of Fortune,Revised Edition,185,3ED,Normal,Near Mint,English,Rare,1624,15755
1,Taiga,Taiga,Revised Edition,287,3ED,Normal,Near Mint,English,Rare,1585,15716
1,Grim Monolith,Grim Monolith,Urza's Legacy,126,ULG,Normal,Near Mint,English,Rare,6323,19819
1,Gilded Drake,Gilded Drake,Urza's Saga,76,USG,Normal,Near Mint,English,Rare,6886,20364
1,Savannah,Savannah,Revised Edition,285,3ED,Normal,Near Mint,English,Rare,1552,15685
1,Plateau,Plateau,Revised Edition,284,3ED,Normal,Near Mint,English,Rare,1527,15660
1,Yawgmoth's Will,Yawgmoth's Will,Urza's Saga,171,USG,Normal,Near Mint,English,Rare,7118,20584
1,Scrubland,Scrubland,Revised Edition,286,3ED,Normal,Near Mint,English,Rare,1556,15689
1,Survival of the Fittest,Survival of the Fittest,Exodus,129,EXO,Normal,Near Mint,English,Rare,4416,18313
1,Tolarian Academy,Tolarian Academy,Urza's Saga,330,USG,Normal,Near Mint,English,Rare,7073,20539
1,Lake of the Dead,Lake of the Dead,Alliances,140,ALL,Normal,Near Mint,English,Rare,4183,18107
1,Metalworker,Metalworker,Urza's Destiny,135,UDS,Normal,Near Mint,English,Rare,6209,19705
1,Mana Crypt,Mana Crypt,Double Masters,270,2XM,Normal,Near Mint,English,Mythic,214835,4432947
1,Force of Negation (Retro Frame),Force of Negation,Modern Horizons,9,MH1,Foil,Near Mint,English,Rare,239621,4959039
1,Force of Will,Force of Will,Alliances,28,ALL,Normal,Near Mint,English,Uncommon,4146,18081
1,"Oko, Thief of Crowns (Borderless)","Oko, Thief of Crowns",Throne of Eldraine,271,ELD,Foil,Near Mint,English,Mythic,198357,4174693
1,Treachery,Treachery,Urza's Destiny,50,UDS,Normal,Near Mint,English,Rare,6264,19760
1,Dryad Arbor,Dryad Arbor,Future Sight,174,FUT,Foil,Near Mint,English,Uncommon,14877,50162
1,Blood Moon,Blood Moon,The Dark,58,DRK,Normal,Near Mint,English,Rare,3484,17522
1,Karakas,Karakas,Legends,303,LEG,Normal,Near Mint,English,Uncommon,3925,17878
1,Flooded Strand,Flooded Strand,Onslaught,316,ONS,Normal,Near Mint,English,Rare,10493,22858
1,Liliana of the Veil,Liliana of the Veil,Innistrad,105,ISD,Normal,Near Mint,English,Mythic,52191,501135
